Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,azimuth,distance_m
0.8230290087,-1.8093186293,0.4589001509,40,77,2.04
0.9965119048,-2.1906974538,-0.1261296545,236,93,2.41
0.8576104697,-1.8853413223,0.4026069802,108,79,2.11
0.8497134425,-1.8679807697,-0.1795408301,82,95,2.06
0.8588162717,-1.8879921159,0.3285123766,109,81,2.1
0.8548208121,-1.8792086351,-0.2534882343,194,97,2.08
0.8383819503,-1.8430700075,0.2486134605,126,83,2.04
0.8547266704,-1.8790016773,-0.3269480319,184,99,2.09
0.8579630876,-1.8861165053,0.1812839449,187,85,2.08
0.8576104697,-1.8853413223,-0.4026069802,175,101,2.11
0.9841071923,-2.163427361,0.1245595759,232,87,2.38
0.8512702001,-1.8714030921,-0.4746467247,152,103,2.11
1.1302058199,-2.4846055526,0.0476450696,250,89,2.73
0.843892789,-1.8551848455,-0.5461081852,142,105,2.11
0.8013917211,-1.7471676823,0.5150498998,46,75,1.99
1.1213317699,-2.4446903778,-0.0469469733,250,91,2.69
0.8408959782,-1.8332935549,0.4656486825,36,77,2.07
1.0200430185,-2.2238639974,-0.1282230928,242,93,2.45
0.8676217577,-1.8915602141,0.4045150702,111,79,2.12
0.8555776743,-1.8653021025,-0.1795408301,84,95,2.06
0.8688611514,-1.8942622991,0.3300767212,112,81,2.11
0.8648583704,-1.8855355685,-0.2547069277,193,97,2.09
0.8524441354,-1.8584704647,0.2510508474,157,83,2.06
0.8606255007,-1.8763072062,-0.3269480319,182,99,2.09
1.1629211108,-2.535362081,0.2440360797,250,85,2.8
0.8635292023,-1.8826377602,-0.4026069802,177,101,2.11
0.9908989322,-2.160325026,0.1245595759,233,87,2.38
0.8612074752,-1.8775760079,-0.4768962352,157,103,2.12
1.1338373287,-2.4719545828,0.0474705455,250,89,2.72
0.8537439441,-1.8613042646,-0.5486963756,142,105,2.12
0.8676964943,-1.8761470527,0.5538727565,88,75,2.14
1.1877651448,-2.5682045398,-0.0493903102,250,91,2.83
0.8834622059,-1.9102359231,0.4858942774,89,77,2.16
1.010256702,-2.1843929835,-0.1261296545,236,93,2.41
0.877680544,-1.8977347226,0.4064231602,113,79,2.13
0.861433462,-1.8626050255,-0.1795408301,92,95,2.06
0.8748078545,-1.891523348,0.3300767212,115,81,2.11
0.8666112771,-1.8738005789,-0.2534882343,191,97,2.08
0.8541120759,-1.846774609,0.249832154,121,83,2.05
0.8706618457,-1.8825587823,-0.3285123766,184,99,2.1
1.0203386637,-2.2061923603,0.2126600123,241,85,2.44
0.8735599781,-1.88882517,-0.4045150702,178,101,2.12
1.0354083211,-2.2387762113,0.1292698119,245,87,2.47
0.8630116918,-1.866017499,-0.4746467247,154,103,2.11
1.149991695,-2.4865301904,0.0478195936,250,89,2.74
0.8595871812,-1.8586129681,-0.5486963756,144,105,2.12
0.8858328293,-1.8996746328,0.5616373279,102,75,2.17
