"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.099332,3.5122,-1.372,3.0,14.0,162.0,3.772,254260285.0
0.19693,6.9632,0.0,65.0,15.0,162.0,6.966,254260285.0
0.10642,3.7629,-1.3701,5.0,16.0,162.0,4.006,254260285.0
0.19728,6.9753,0.16201,75.0,17.0,162.0,6.98,254260285.0
0.11527,4.0759,-1.3778,4.0,18.0,162.0,4.304,254260285.0
0.19683,6.9597,0.32469,76.0,19.0,162.0,6.97,254260285.0
0.12436,4.3971,-1.3726,5.0,20.0,162.0,4.608,254260285.0
0.19696,6.9642,0.48718,48.0,21.0,162.0,6.984,254260285.0
0.13647,4.8255,-1.3843,3.0,22.0,162.0,5.022,254260285.0
0.19704,6.9669,0.65024,75.0,23.0,162.0,7.0,254260285.0
0.14894,5.2664,-1.3792,8.0,24.0,162.0,5.446,254260285.0
0.19745,6.9816,0.81677,82.0,25.0,162.0,7.032,254260285.0
0.16401,5.7991,-1.3746,2.0,26.0,162.0,5.962,254260285.0
0.19714,6.9707,0.98006,82.0,27.0,162.0,7.042,254260285.0
0.18306,6.4727,-1.3764,7.0,28.0,162.0,6.62,254260285.0
0.19695,6.9638,1.1446,80.0,29.0,162.0,7.06,254260285.0
0.19714,6.9705,-1.3138,76.0,30.0,162.0,7.096,254260285.0
0.19692,6.9627,1.3124,75.0,31.0,162.0,7.088,254260285.0
0.072189,2.2971,-1.363,3.0,0.0,180.0,2.672,254260285.0
0.2019,6.4247,-1.0561,2.0,1.0,180.0,6.514,254260285.0
0.076183,2.4242,-1.3627,3.0,2.0,180.0,2.782,254260285.0
0.21842,6.9502,-0.97727,81.0,3.0,180.0,7.022,254260285.0
0.080262,2.554,-1.3587,3.0,4.0,180.0,2.894,254260285.0
0.21882,6.9631,-0.81468,51.0,5.0,180.0,7.014,254260285.0
0.084936,2.7027,-1.3582,4.0,6.0,180.0,3.026,254260285.0
0.21874,6.9603,-0.64969,68.0,7.0,180.0,6.994,254260285.0
0.090737,2.8873,-1.3673,3.0,8.0,180.0,3.196,254260285.0
0.21853,6.9536,-0.48648,69.0,9.0,180.0,6.974,254260285.0
0.096703,3.0771,-1.3707,5.0,10.0,180.0,3.37,254260285.0
0.21801,6.937,-0.32366,82.0,11.0,180.0,6.948,254260285.0
0.10324,3.2852,-1.3729,3.0,12.0,180.0,3.562,254260285.0
0.21869,6.9587,-0.16164,102.0,13.0,180.0,6.964,254260285.0
0.11031,3.51,-1.3713,3.0,14.0,180.0,3.77,254260285.0
0.21837,6.9486,0.0,56.0,15.0,180.0,6.952,254260285.0
0.11824,3.7626,-1.3701,5.0,16.0,180.0,4.006,254260285.0
0.21887,6.9647,0.16178,76.0,17.0,180.0,6.97,254260285.0
0.12808,4.0755,-1.3778,3.0,18.0,180.0,4.304,254260285.0
0.21863,6.957,0.32459,79.0,19.0,180.0,6.968,254260285.0
0.13853,4.4081,-1.3762,4.0,20.0,180.0,4.62,254260285.0
0.21865,6.9576,0.48676,48.0,21.0,180.0,6.978,254260285.0
0.15175,4.8289,-1.3854,5.0,22.0,180.0,5.026,254260285.0
